AZ_conventional_hydroelectric_1,CA_conventional_hydroelectric_1,CO_conventional_hydroelectric_1,ID_conventional_hydroelectric_1,MT_conventional_hydroelectric_1,NV_conventional_hydroelectric_1,OR_conventional_hydroelectric_1,UT_conventional_hydroelectric_1,WA_conventional_hydroelectric_1,WY_conventional_hydroelectric_1
0.269461006,0.183894426,0.344541758,0.316352606,0.325146496,0.228814393,0.44637838,0.256179094,0.34319818,0.134723693
0.269290268,0.184012532,0.344721317,0.316315949,0.325126588,0.228657737,0.44637087,0.256094337,0.343167961,0.134723142
0.269119561,0.184130639,0.344900906,0.316279262,0.32510671,0.228501096,0.446363389,0.256009579,0.343137741,0.13472259
0.268948823,0.18424876,0.345080465,0.316242576,0.325086832,0.22834444,0.446355879,0.255924821,0.343107522,0.134722039
0.268778116,0.184366867,0.345260024,0.316205889,0.325066894,0.228187785,0.446348369,0.255840063,0.343077272,0.134721488
0.268607408,0.184484974,0.345439613,0.316169202,0.325046986,0.228031144,0.446340859,0.255755335,0.343047023,0.134720922
0.2684367,0.184603095,0.345619142,0.316132545,0.325027078,0.227874473,0.446333379,0.255670577,0.343016803,0.13472037
0.268265992,0.184721202,0.345798731,0.316095829,0.3250072,0.227717832,0.446325868,0.255585849,0.342986554,0.134719819
0.268095255,0.184839293,0.34597829,0.316059172,0.324987292,0.227561176,0.446318388,0.255501091,0.342956334,0.134719267
0.267924547,0.184957415,0.346157879,0.316022456,0.324967384,0.227404535,0.446310848,0.255416334,0.342926085,0.134718716
0.267753839,0.185075521,0.346337438,0.315985799,0.324947476,0.227247879,0.446303338,0.255331576,0.342895865,0.13471815
0.267583132,0.185193628,0.346516997,0.315949112,0.324927568,0.227091223,0.446295887,0.255246818,0.342865616,0.134717599
0.267412424,0.18531175,0.346696556,0.315912426,0.32490766,0.226934582,0.446288347,0.25516206,0.342835367,0.134717047
0.267241716,0.185429871,0.346876144,0.315875739,0.324887753,0.226777911,0.446280837,0.255077332,0.342805147,0.134716496
0.267070979,0.185547978,0.347055703,0.315839082,0.324867845,0.22662127,0.446273357,0.254992574,0.342774928,0.134715945
0.266900271,0.185666069,0.347235262,0.315802366,0.324847937,0.226464614,0.446265817,0.254907846,0.342744678,0.134715393
0.266729534,0.185784191,0.347414851,0.315765679,0.324828029,0.226307973,0.446258336,0.254823089,0.342714459,0.134714827
0.266558826,0.185902297,0.34759441,0.315729022,0.324808121,0.226151317,0.446250856,0.254738331,0.342684209,0.134714276
